target,relevance,outcome,metallibs,perf,tracker_id,note
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_shapes_ps128_causal.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_shapes_ps128_sliding_1024.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_shapes_ps256_causal.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_shapes_ps256_sliding_1024.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_shapes_ps64_causal.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_shapes_ps64_sliding_1024.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_gemma4_sink_repro.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_inflight_batching_gemma3_hang_ps128.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_inflight_batching_gemma3_hang_ps256.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_inflight_batching_gemma3_hang_ps64.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_mixed_ce_tg.mojo.test,generic,PASS,151,,,
//max/kernels/test/gpu/kv_cache:test_mha_paged_kv_oob_canary_ps128_causal.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_paged_kv_oob_canary_ps128_sliding_1024.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_paged_kv_oob_canary_ps256_causal.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_paged_kv_oob_canary_ps256_sliding_1024.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_paged_kv_oob_canary_ps64_causal.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_paged_kv_oob_canary_ps64_sliding_1024.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_prefill_v2_ragged_gate.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_mha_rel_logits_ragged_paged.mojo.test,generic,PASS,222,,,
//max/kernels/test/gpu/kv_cache:test_paged_kv_null_block_sentinel.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_paged_lut_load_boundary_ps128.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_paged_lut_load_boundary_ps16.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_paged_lut_load_boundary_ps256.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_paged_lut_load_boundary_ps32.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_paged_lut_load_boundary_ps64.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_paged_mha_prefix_hit_differential.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_paged_sparse_kv_index_remap.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/kv_cache:test_pv_mnmajor_mma_spike.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_qk_kmajor_consumer_spike.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_qk_kmajor_mma_spike.mojo.test,foreign,NO_STATUS,,,,
//max/kernels/test/gpu/kv_cache:test_sliced_add.mojo.test,generic,PASS,13,,,
//max/kernels/test/gpu/layout:issue_32811.mojo.test,generic,PASS,2,,,
//max/kernels/test/gpu/layout:test_apple_mma_8x8.mojo.test,apple,PASS,0,,,
//max/kernels/test/gpu/layout:test_apple_mma_fragment.mojo.test,apple,PARTIAL,19,,MSTDL-2592,SKIP:
//max/kernels/test/gpu/layout:test_codegen_to_llvm.mojo.test,generic,PASS,0,,,
//max/kernels/test/gpu/layout:test_coord_codegen.mojo.test,generic,NO_STATUS,,,,
//max/kernels/test/gpu/layout:test_device_pointer_tile_storage_kernel.mojo.test,generic,PASS,3,,,
